file,oid_i,oid_j,type_i,type_j,t_at,d_center_min,d_obb_min,L_i,W_i,H_i,L_j,W_j,H_j,speed_i,speed_j,is_stationary_i,is_stationary_j
individual_files_training_segment-10107710434105775874_760_000_780_000_with_camera_labels.tfrecord,1ocxKAVhsMQZmHxmwfAerA,_KM81dCDVXYpWHZ7tfVgsg,Vehicle,Vehicle,1553309086.524395,3.3058770182088706,0.7344553582812134,4.500244265563951,2.011752212145621,1.6499999999999773,4.626704154501587,1.9918351033372002,1.759999999999991,0.0010833096718007474,0.0030651723582559255,0,0
individual_files_training_segment-10107710434105775874_760_000_780_000_with_camera_labels.tfrecord,2j2TKEvV32HZNKUHqggFWA,BgBiUAJwFt_BebqjAcL3Hg,Vehicle,Sign,1553309069.924784,4.47387404235106,1.7360406789168488,4.400453811925604,2.1441036040669252,2.2000000000000455,0.12092297562444372,0.8659686446159068,0.9099999999999682,2.8829429922953285,0.043018406091982146,0,0
individual_files_training_segment-10107710434105775874_760_000_780_000_with_camera_labels.tfrecord,5CYAIpReGS4WDD23TUCElA,TLIUGxvcFxaLhKz6jL_B0A,Vehicle,Vehicle,1553309070.624755,6.518563986231581,1.4335358484667564,5.0,2.500000000000256,2.2000000000000455,4.770447351371127,2.275228054562916,1.759999999999991,0.0,1.1943343438347326e-28,0,0
individual_files_training_segment-10107710434105775874_760_000_780_000_with_camera_labels.tfrecord,5n4Y0vCwG_wqTi7gsUvGeQ,9wnErSny_1p5aPn9y36otg,Vehicle,Vehicle,1553309072.2237918,2.9428672612600497,0.45769202207691906,4.772893412444033,2.4926075392044886,1.9800000000000182,4.558512741935575,2.144020456730856,1.8500000000000227,4.263256414560601e-13,7.105427357601002e-13,0,0
individual_files_training_segment-10107710434105775874_760_000_780_000_with_camera_labels.tfrecord,9wnErSny_1p5aPn9y36otg,uiQOLalyrBNzBrkNDiLD0g,Vehicle,Sign,1553309080.524113,3.1687077011914804,0.381077269182587,4.558512741935575,2.1440204567308534,1.8500000000000227,0.10203188737063196,0.5641875973906268,0.7200000000000273,7.105427357601002e-13,0.008828739516694818,0,0
individual_files_training_segment-10107710434105775874_760_000_780_000_with_camera_labels.tfrecord,AIu9t_uSBYkd9nYryNbAwQ,Z20Li1fn38hx-9h5g0B20w,Vehicle,Sign,1553309069.924784,1.9326728672496767,0.3927035874569507,4.989076571391706,2.4143408957419004,2.2000000000000455,0.08865639804462266,0.5894930846339677,0.7200000000000273,0.06389673790873668,0.08567149811132328,0,0
individual_files_training_segment-10107710434105775874_760_000_780_000_with_camera_labels.tfrecord,AIu9t_uSBYkd9nYryNbAwQ,h83WGqo6XyMPbQBr8I6FZQ,Vehicle,Vehicle,1553309069.924784,7.189677446964978,1.9202473681140535,4.989076571391706,2.4143408957419004,2.2000000000000455,5.0,2.4999999999981757,1.7799999999999727,0.06389673790873668,0.06770575965029965,0,0
individual_files_training_segment-10107710434105775874_760_000_780_000_with_camera_labels.tfrecord,I8qnhjM2SWftNqsGZ4X2LA,wQZ_jK6Jkmss51tiyFEPxg,Vehicle,Vehicle,1553309069.924784,5.4587583307422225,0.26727359091684394,5.0835167690492655,2.2284636487373,2.2899999999999636,5.263091465375979,2.228110036878735,2.6100000000000136,0.01032538636781773,0.21151757347398076,0,0
individual_files_training_segment-10107710434105775874_760_000_780_000_with_camera_labels.tfrecord,QKlEaridqhOAfyTwACFZHg,UPqPNLmbTgsDPWnrWsCHRw,Sign,Vehicle,1553309073.724303,1.9899644683162998,0.5032657784614792,0.07934000012323493,0.53570765908205,0.5339435451192003,5.424255349382911,2.3734156814023155,2.3899999999999864,0.05177800303828544,0.06285157708821755,0,0
individual_files_training_segment-10107710434105775874_760_000_780_000_with_camera_labels.tfrecord,tw8-nQ-wXmfmUvD5LbpTMw,zhJ5-1Qn7JysfI-2XZdDaw,Vehicle,Vehicle,1553309086.524395,2.249383257466835,0.1279525686159606,4.260663970376145,2.100921101220721,2.080000000000041,4.4399311303454265,2.0441040729803195,1.919999999999959,4.248922292806078e-28,0.0004821909807023148,0,0
